--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
055.879  000.019  000.019: require('efmls-configs.fs')
055.912  000.070  000.051: require('efmls-configs.formatters.gofumpt')
055.948  000.019  000.019: require('efmls-configs.utils')
055.964  000.051  000.032: require('efmls-configs.linters.go_revive')
056.001  000.036  000.036: require('efmls-configs.linters.solhint')
056.042  000.040  000.040: require('efmls-configs.formatters.prettier_d')
056.067  000.024  000.024: require('efmls-configs.linters.luacheck')
056.097  000.029  000.029: require('efmls-configs.formatters.stylua')
056.124  000.027  000.027: require('efmls-configs.linters.flake8')
056.154  000.030  000.030: require('efmls-configs.formatters.black')
056.185  000.030  000.030: require('efmls-configs.linters.eslint')
056.211  000.026  000.026: require('efmls-configs.formatters.fixjson')
056.241  000.029  000.029: require('efmls-configs.linters.shellcheck')
056.267  000.025  000.025: require('efmls-configs.formatters.shfmt')
056.294  000.027  000.027: require('efmls-configs.linters.hadolint')
056.322  000.027  000.027: require('efmls-configs.linters.cpplint')
056.343  000.021  000.021: require('efmls-configs.formatters.clang_format')
056.360  000.015  000.015: require('lspconfig.configs.efm')
056.419  000.003  000.003: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
056.423  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
056.655  000.025  000.025: require('lualine_require')
056.852  000.426  000.401: require('lualine')
057.043  000.009  000.009: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
057.322  000.046  000.046: require('lualine.highlight')
057.558  000.005  000.005: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
057.566  000.002  000.002: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
057.571  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
057.575  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
057.579  000.002  000.002: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
057.583  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
057.587  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
057.591  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
057.594  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
057.598  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
057.602  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
057.605  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
057.620  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
057.624  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
057.627  000.002  000.002: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
057.646  000.016  000.016: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
057.649  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
057.663  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
057.666  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
057.671  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
057.674  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
057.677  000.001  000.001: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
057.685  000.006  000.006: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
